Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column9,Column10,Column11,Column12,Column13,Column15,Column16,Column17,Column18
REF. 87196717-JUSTOC-I-LM ,mujer,pantalones,8,36-38-40-42-44-,NULL,temporada,39-99 €,NULL,NULL,NULL,Composición: 100%  poliéster. Vivo: 100%  poliéster,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO,
REF. 87196717-JUSTOC-I-LM ,mujer,pantalones,6,32-34-36-38-40-42-44-,NULL,temporada,39-99 €,NULL,NULL,NULL,Composición: 100%  poliéster. Vivo: 100%  poliéster,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO,
REF. 87185926-PIQUE7-LM ,mujer,pantalones,8,XL-,NULL,temporada,25-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO
REF. 87174393-HORSE-H-LM ,mujer,pantalones,8,XS-S-M-L-XL-,NULL,temporada,25-99 €,NULL,NULL,NULL,Composición: 100%  poliéster,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87152886-UNDER7-H-LM ,mujer,pantalones,7,XS-,NULL,temporada,29-99 €,NULL,NULL,NULL,Composición: 100%  algodón,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO,
REF. 87167889-GREY-H-LM ,mujer,pantalones,8,XS-S-M-L-,NULL,temporada,39-99 €,NULL,NULL,NULL,Composición: 98%  algodón-2%  elastano,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO,
REF. 87042009-LOUISAL-H-LM ,mujer,pantalones,8,XS-S-M-L-,NULL,temporada,39-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 150°c-No limpiar en seco-No se puede usar secadora,MANGO
REF. 87012885-SEMIFLU-LM ,mujer,pantalones,9,XS-S-M-L-XL-,NULL,temporada,25-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO
REF. 87012885-SEMIFLU-LM ,mujer,pantalones,7,XS-S-M-L-XL-,NULL,temporada,25-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO
REF. 87012885-SEMIFLU-LM ,mujer,pantalones,8,XS-S-M-L-XL-,NULL,temporada,25-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO
REF. 87007877-CAROLA-LM ,mujer,vestidos,7,XS-S-M-L-XL-,NULL,temporada,39-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO
REF. 87007122-MONTE-A-LM ,mujer,vestidos,8,S-M-XL-,NULL,temporada,59-99 €,NULL,NULL,NULL,Composición: 100%  poliéster,NULL,-Lavar a mano max 30°c-No usar lejia-Plancha max 110°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO,
REF. 87027136-FERTI-LM ,mujer,vestidos,7,XS-,NULL,temporada,15-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c-No usar lejia-Plancha max 110°c-No limpiar en seco-No se puede usar secadora,MANGO
REF. 87067878-SAVANA-LM ,mujer,vestidos,8,XS-S-M-L-XL-,NULL,temporada,29-99 €,NULL,NULL,NULL,NULL,NULL,NULL,-Lavar a maquina max 30°c centrifugado corto-No usar lejia-Plancha max 150°c-Limpiar en seco percloroetileno-No se puede usar secadora,MANGO
